datetime,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_Average
2010-01-01 23:00:00,4,,,,129.0,-17.0,41.0,1020.0,-5.0,cv,0.89,0.0,0.0,129.0
2010-01-02 00:00:00,4,,,,148.0,-16.0,38.0,1020.0,-4.0,SE,1.79,0.0,0.0,148.0
2010-01-02 01:00:00,4,,,,159.0,-15.0,42.0,1020.0,-4.0,SE,2.68,0.0,0.0,159.0
2010-01-02 02:00:00,4,,,,181.0,-11.0,63.5,1021.0,-5.0,SE,3.57,0.0,0.0,181.0
2010-01-02 03:00:00,4,,,,138.0,-7.0,85.0,1022.0,-5.0,SE,5.36,0.0,0.0,138.0
2010-01-02 04:00:00,4,,,,109.0,-7.0,85.0,1022.0,-5.0,SE,6.25,0.0,0.0,109.0
2010-01-02 05:00:00,4,,,,105.0,-7.0,92.0,1022.0,-6.0,SE,7.14,0.0,0.0,105.0
2010-01-02 06:00:00,4,,,,124.0,-7.0,92.0,1023.0,-6.0,SE,8.93,0.0,0.0,124.0
2010-01-02 07:00:00,4,,,,120.0,-7.0,85.0,1024.0,-5.0,SE,10.72,0.0,0.0,120.0
2010-01-02 08:00:00,4,,,,132.0,-8.0,85.0,1024.0,-6.0,SE,12.51,0.0,0.0,132.0
2010-01-02 09:00:00,4,,,,140.0,-7.0,85.0,1025.0,-5.0,SE,14.3,0.0,0.0,140.0
2010-01-02 10:00:00,4,,,,152.0,-7.0,85.0,1026.0,-5.0,SE,17.43,0.0,0.0,152.0
2010-01-02 11:00:00,4,,,,148.0,-8.0,79.0,1026.0,-5.0,SE,20.56,0.0,0.0,148.0
2010-01-02 12:00:00,4,,,,164.0,-8.0,79.0,1026.0,-5.0,SE,23.69,0.0,0.0,164.0
2010-01-02 13:00:00,4,,,,158.0,-8.0,79.0,1025.0,-5.0,SE,27.71,0.0,0.0,158.0
2010-01-02 14:00:00,4,,,,154.0,-9.0,73.0,1025.0,-5.0,SE,31.73,0.0,0.0,154.0
2010-01-02 15:00:00,4,,,,159.0,-9.0,73.0,1025.0,-5.0,SE,35.75,0.0,0.0,159.0
2010-01-02 16:00:00,4,,,,164.0,-9.0,73.0,1026.0,-5.0,SE,37.54,0.0,0.0,164.0
2010-01-02 17:00:00,4,,,,170.0,-8.0,79.0,1027.0,-5.0,SE,39.33,0.0,0.0,170.0
2010-01-02 18:00:00,4,,,,149.0,-8.0,79.0,1027.0,-5.0,SE,42.46,0.0,0.0,149.0
2010-01-02 19:00:00,4,,,,154.0,-8.0,79.0,1028.0,-5.0,SE,44.25,0.0,0.0,154.0
2010-01-02 20:00:00,4,,,,164.0,-7.0,85.0,1028.0,-5.0,SE,46.04,0.0,0.0,164.0
2010-01-02 21:00:00,4,,,,156.0,-7.0,85.0,1027.0,-5.0,SE,49.17,0.0,0.0,156.0
2010-01-02 22:00:00,4,,,,126.0,-8.0,85.0,1028.0,-6.0,SE,52.3,0.0,0.0,126.0
2010-01-02 23:00:00,4,,,,90.0,-8.0,85.0,1027.0,-6.0,SE,55.43,0.0,0.0,90.0
2010-01-03 00:00:00,4,,,,63.0,-7.0,92.0,1027.0,-6.0,SE,58.56,0.4,0.4,63.0
2010-01-03 01:00:00,4,,,,65.0,-8.0,85.0,1026.0,-6.0,SE,61.69,0.5,0.9,65.0
2010-01-03 02:00:00,4,,,,55.0,-8.0,92.0,1026.0,-7.0,SE,65.71,0.5,1.4,55.0
2010-01-03 03:00:00,4,,,,65.0,-8.0,92.0,1025.0,-7.0,SE,68.84,0.7,2.1,65.0
2010-01-03 04:00:00,4,,,,83.0,-8.0,92.0,1024.0,-7.0,SE,72.86,1.2,3.3,83.0
2010-01-03 05:00:00,4,,,,91.0,-9.0,92.0,1024.0,-8.0,SE,76.88,0.7,4.0,91.0
2010-01-03 06:00:00,4,,,,86.0,-10.0,85.0,1024.0,-8.0,SE,80.9,1.0,5.0,86.0
2010-01-03 07:00:00,4,,,,82.0,-10.0,92.0,1024.0,-9.0,SE,84.92,0.7,5.7,82.0
2010-01-03 08:00:00,4,,,,86.0,-10.0,92.0,1024.0,-9.0,SE,89.84,0.5,6.2,86.0
2010-01-03 09:00:00,4,,,,78.0,-11.0,85.0,1023.0,-9.0,SE,93.86,0.7,6.9,78.0
2010-01-03 10:00:00,4,,,,98.0,-11.0,85.0,1023.0,-9.0,SE,97.88,0.4,7.3,98.0
2010-01-03 11:00:00,4,,,,107.0,-11.0,85.0,1022.0,-9.0,SE,102.8,0.5,7.8,107.0
2010-01-03 12:00:00,4,,,,90.0,-11.0,85.0,1021.0,-9.0,SE,105.93,1.1,8.9,90.0
2010-01-03 13:00:00,4,,,,96.0,-11.0,85.0,1020.0,-9.0,SE,111.74,0.5,9.4,96.0
2010-01-03 14:00:00,4,,,,95.0,-11.0,85.0,1020.0,-9.0,SE,116.66,0.3,9.7,95.0
2010-01-03 15:00:00,4,,,,86.0,-11.0,85.0,1020.0,-9.0,SE,121.58,0.5,10.2,86.0
2010-01-03 16:00:00,4,,,,70.0,-11.0,85.0,1020.0,-9.0,SE,124.71,0.2,10.4,70.0
2010-01-03 17:00:00,4,,,,61.0,-11.0,85.0,1020.0,-9.0,SE,127.84,0.1,10.5,61.0
2010-01-03 18:00:00,4,,,,53.0,-11.0,85.0,1021.0,-9.0,cv,0.89,0.4,10.9,53.0
2010-01-03 19:00:00,4,,,,71.0,-11.0,85.0,1022.0,-9.0,cv,1.78,0.3,11.2,71.0
2010-01-03 20:00:00,4,,,,72.0,-10.0,92.0,1022.0,-9.0,NW,4.02,0.0,0.0,72.0
2010-01-03 21:00:00,4,,,,76.0,-11.0,92.0,1023.0,-10.0,NW,7.15,0.0,0.0,76.0
2010-01-03 22:00:00,4,,,,73.0,-11.0,85.0,1023.0,-9.0,NW,11.17,0.0,0.0,73.0
2010-01-03 23:00:00,4,,,,79.0,-12.0,92.0,1023.0,-11.0,NW,14.3,0.0,0.0,79.0
2010-01-04 00:00:00,4,,,,58.0,-14.0,85.0,1023.0,-12.0,NW,16.09,0.0,0.0,58.0
2010-01-04 01:00:00,4,,,,25.0,-16.0,56.0,1023.0,-9.0,NW,21.9,0.0,0.0,25.0
2010-01-04 02:00:00,4,,,,26.0,-17.0,56.0,1024.0,-10.0,NW,29.95,0.0,0.0,26.0
2010-01-04 03:00:00,4,,,,28.0,-18.0,56.0,1024.0,-11.0,NW,39.78,0.0,0.0,28.0
2010-01-04 04:00:00,4,,,,26.0,-19.0,51.0,1025.0,-11.0,NW,48.72,0.0,0.0,26.0
2010-01-04 05:00:00,4,,,,20.0,-20.0,51.0,1026.0,-12.0,NW,55.87,0.0,0.0,20.0
2010-01-04 06:00:00,4,,,,29.0,-21.0,47.0,1027.0,-12.0,NW,64.81,0.0,0.0,29.0
2010-01-04 07:00:00,4,,,,26.0,-21.0,51.0,1027.0,-13.0,NW,73.75,0.0,0.0,26.0
2010-01-04 08:00:00,4,,,,27.0,-22.0,46.0,1028.0,-13.0,NW,80.9,0.0,0.0,27.0
2010-01-04 09:00:00,4,,,,27.0,-22.0,46.0,1029.0,-13.0,NW,90.73,0.0,0.0,27.0
2010-01-04 10:00:00,4,,,,25.0,-22.0,43.0,1030.0,-12.0,NW,100.56,0.0,0.0,25.0
2010-01-04 11:00:00,4,,,,29.0,-23.0,39.0,1031.0,-12.0,NW,108.61,0.0,0.0,29.0
2010-01-04 12:00:00,4,,,,32.0,-21.0,43.0,1030.0,-11.0,NW,117.55,0.0,0.0,32.0
2010-01-04 13:00:00,4,,,,28.0,-20.0,43.0,1030.0,-10.0,NW,127.38,0.0,0.0,28.0
2010-01-04 14:00:00,4,,,,29.0,-21.0,40.0,1030.0,-10.0,NW,136.32,0.0,0.0,29.0
2010-01-04 15:00:00,4,,,,30.0,-21.0,37.0,1030.0,-9.0,NW,145.26,0.0,0.0,30.0
2010-01-04 16:00:00,4,,,,30.0,-21.0,37.0,1031.0,-9.0,NW,152.41,0.0,0.0,30.0
2010-01-04 17:00:00,4,,,,28.0,-20.0,47.0,1032.0,-11.0,NW,159.56,0.0,0.0,28.0
2010-01-04 18:00:00,4,,,,26.0,-23.0,36.0,1032.0,-11.0,NW,165.37,0.0,0.0,26.0
2010-01-04 19:00:00,4,,,,31.0,-21.0,47.0,1033.0,-12.0,NW,171.18,0.0,0.0,31.0
2010-01-04 20:00:00,4,,,,33.0,-24.0,36.0,1034.0,-12.0,NW,180.12,0.0,0.0,33.0
2010-01-04 21:00:00,4,,,,29.0,-24.0,39.0,1034.0,-13.0,NW,187.27,0.0,0.0,29.0
2010-01-04 22:00:00,4,,,,31.0,-24.0,39.0,1035.0,-13.0,NW,195.32,0.0,0.0,31.0
2010-01-04 23:00:00,4,,,,30.0,-26.0,38.0,1035.0,-15.0,NW,198.45,0.0,0.0,30.0
2010-01-05 00:00:00,4,,,,34.0,-26.0,45.0,1035.0,-17.0,NW,201.58,0.0,0.0,34.0
2010-01-05 01:00:00,4,,,,27.0,-26.0,49.0,1035.0,-18.0,NW,205.6,0.0,0.0,27.0
2010-01-05 02:00:00,4,,,,25.0,-26.0,53.0,1035.0,-19.0,NW,208.73,0.0,0.0,25.0
2010-01-05 03:00:00,4,,,,28.0,-27.0,45.0,1035.0,-18.0,NW,213.65,0.0,0.0,28.0
2010-01-05 04:00:00,4,,,,28.0,-27.0,49.0,1035.0,-19.0,NW,218.57,0.0,0.0,28.0
2010-01-05 05:00:00,4,,,,27.0,-27.0,38.0,1034.0,-16.0,NE,4.92,0.0,0.0,27.0
2010-01-05 06:00:00,4,,,,27.0,-26.0,41.0,1035.0,-16.0,NE,8.05,0.0,0.0,27.0
2010-01-05 07:00:00,4,,,,27.0,-27.0,38.0,1034.0,-16.0,NE,13.86,0.0,0.0,27.0
2010-01-05 08:00:00,4,,,,29.0,-26.0,41.0,1035.0,-16.0,NE,18.78,0.0,0.0,29.0
2010-01-05 09:00:00,4,,,,36.0,-26.0,38.0,1035.0,-15.0,NE,24.59,0.0,0.0,36.0
2010-01-05 10:00:00,4,,,,30.0,-25.0,38.0,1035.0,-14.0,NE,29.51,0.0,0.0,30.0
2010-01-05 11:00:00,4,,,,27.0,-25.0,35.0,1035.0,-13.0,NE,34.43,0.0,0.0,27.0
2010-01-05 12:00:00,4,,,,39.0,-25.0,33.0,1034.0,-12.0,NE,39.35,0.0,0.0,39.0
2010-01-05 13:00:00,4,,,,41.0,-24.0,33.0,1032.0,-11.0,NE,41.14,0.0,0.0,41.0
2010-01-05 14:00:00,4,,,,33.0,-22.0,39.0,1032.0,-11.0,cv,0.89,0.0,0.0,33.0
2010-01-05 15:00:00,4,,,,50.0,-23.0,36.0,1031.0,-11.0,NW,1.79,0.0,0.0,50.0
2010-01-05 16:00:00,4,,,,56.0,-24.0,33.0,1031.0,-11.0,NW,3.58,0.0,0.0,56.0
2010-01-05 17:00:00,4,,,,59.0,-23.0,36.0,1031.0,-11.0,NW,5.37,0.0,0.0,59.0
2010-01-05 18:00:00,4,,,,60.0,-23.0,36.0,1032.0,-11.0,NW,7.16,0.0,0.0,60.0
2010-01-05 19:00:00,4,,,,84.0,-22.0,46.0,1033.0,-13.0,NW,10.29,0.0,0.0,84.0
2010-01-05 20:00:00,4,,,,106.0,-22.0,43.0,1033.0,-12.0,NW,13.42,0.0,0.0,106.0
2010-01-05 21:00:00,4,,,,66.0,-24.0,59.0,1033.0,-18.0,NW,16.55,0.0,0.0,66.0
2010-01-05 22:00:00,4,,,,50.0,-22.0,46.0,1034.0,-13.0,NW,20.57,0.0,0.0,50.0
2010-01-05 23:00:00,4,,,,56.0,-22.0,59.0,1033.0,-16.0,NW,23.7,0.0,0.0,56.0
2010-01-06 00:00:00,4,,,,77.0,-25.0,49.0,1033.0,-17.0,NW,26.83,0.0,0.0,77.0
2010-01-06 01:00:00,4,,,,50.0,-25.0,38.0,1033.0,-14.0,NE,4.02,0.0,0.0,50.0
2010-01-06 02:00:00,4,,,,44.0,-26.0,35.0,1034.0,-14.0,NE,8.04,0.0,0.0,44.0
2010-01-06 03:00:00,4,,,,27.0,-26.0,35.0,1033.0,-14.0,NE,13.85,0.0,0.0,27.0
2010-01-06 04:00:00,4,,,,28.0,-26.0,35.0,1033.0,-14.0,NE,17.87,0.0,0.0,28.0
2010-01-06 05:00:00,4,,,,21.0,-26.0,35.0,1033.0,-14.0,NE,23.68,0.0,0.0,21.0
2010-01-06 06:00:00,4,,,,25.0,-26.0,35.0,1033.0,-14.0,NE,28.6,0.0,0.0,25.0
2010-01-06 07:00:00,4,,,,20.0,-26.0,38.0,1034.0,-15.0,NE,33.52,0.0,0.0,20.0
2010-01-06 08:00:00,4,,,,29.0,-26.0,35.0,1034.0,-14.0,NE,39.33,0.0,0.0,29.0
2010-01-06 09:00:00,4,,,,34.0,-25.0,35.0,1035.0,-13.0,NE,44.25,0.0,0.0,34.0
2010-01-06 10:00:00,4,,,,42.0,-25.0,33.0,1035.0,-12.0,NE,50.06,0.0,0.0,42.0
2010-01-06 11:00:00,4,,,,28.0,-24.0,33.0,1035.0,-11.0,NE,54.98,0.0,0.0,28.0
2010-01-06 12:00:00,4,,,,36.0,-24.0,30.0,1034.0,-10.0,NE,59.0,0.0,0.0,36.0
2010-01-06 13:00:00,4,,,,48.0,-22.0,36.0,1033.0,-10.0,NW,4.02,0.0,0.0,48.0
2010-01-06 14:00:00,4,,,,49.0,-22.0,34.0,1033.0,-9.0,NW,5.81,0.0,0.0,49.0
2010-01-06 15:00:00,4,,,,52.0,-22.0,31.0,1033.0,-8.0,cv,0.89,0.0,0.0,52.0
2010-01-06 16:00:00,4,,,,56.0,-22.0,31.0,1033.0,-8.0,NW,1.79,0.0,0.0,56.0
2010-01-06 17:00:00,4,,,,96.0,-21.0,37.0,1033.0,-9.0,NW,3.58,0.0,0.0,96.0
2010-01-06 18:00:00,4,,,,75.0,-22.0,34.0,1033.0,-9.0,NW,5.37,0.0,0.0,75.0
2010-01-06 19:00:00,4,,,,105.0,-22.0,50.0,1034.0,-14.0,cv,0.89,0.0,0.0,105.0
2010-01-06 20:00:00,4,,,,132.0,-22.0,43.0,1035.0,-12.0,NW,1.79,0.0,0.0,132.0
2010-01-06 21:00:00,4,,,,93.0,-21.0,55.0,1034.0,-14.0,NW,3.58,0.0,0.0,93.0
2010-01-06 22:00:00,4,,,,131.0,-22.0,59.0,1035.0,-16.0,NW,5.37,0.0,0.0,131.0
2010-01-06 23:00:00,4,,,,127.0,-21.0,65.0,1035.0,-16.0,NW,7.16,0.0,0.0,127.0
2010-01-07 00:00:00,4,,,,130.0,-21.0,65.0,1035.0,-16.0,NW,8.95,0.0,0.0,130.0
2010-01-07 01:00:00,4,,,,43.0,-21.0,65.0,1035.0,-16.0,cv,0.45,0.0,0.0,43.0
2010-01-07 02:00:00,4,,,,37.0,-22.0,70.0,1036.0,-18.0,cv,1.34,0.0,0.0,37.0
2010-01-07 03:00:00,4,,,,30.0,-23.0,50.0,1036.0,-15.0,NW,4.02,0.0,0.0,30.0
2010-01-07 04:00:00,4,,,,28.0,-24.0,50.0,1035.0,-16.0,NW,7.15,0.0,0.0,28.0
2010-01-07 05:00:00,4,,,,24.0,-25.0,42.0,1035.0,-15.0,NW,10.28,0.0,0.0,24.0
2010-01-07 06:00:00,4,,,,23.0,-24.0,46.0,1035.0,-15.0,NW,14.3,0.0,0.0,23.0
2010-01-07 07:00:00,4,,,,24.0,-25.0,35.0,1036.0,-13.0,NE,4.92,0.0,0.0,24.0
2010-01-07 08:00:00,4,,,,27.0,-24.0,42.0,1036.0,-14.0,NW,4.02,0.0,0.0,27.0
2010-01-07 09:00:00,4,,,,40.0,-23.0,39.0,1036.0,-12.0,NW,8.94,0.0,0.0,40.0
2010-01-07 10:00:00,4,,,,42.0,-22.0,39.0,1036.0,-11.0,NW,12.96,0.0,0.0,42.0
2010-01-07 11:00:00,4,,,,42.0,-20.0,43.0,1036.0,-10.0,NW,16.09,0.0,0.0,42.0
2010-01-07 12:00:00,4,,,,55.0,-21.0,37.0,1035.0,-9.0,NW,19.22,0.0,0.0,55.0
2010-01-07 13:00:00,4,,,,52.0,-21.0,34.0,1034.0,-8.0,NW,21.01,0.0,0.0,52.0
2010-01-07 14:00:00,4,,,,51.0,-20.0,34.0,1033.0,-7.0,NW,22.8,0.0,0.0,51.0
2010-01-07 15:00:00,4,,,,57.0,-20.0,34.0,1032.0,-7.0,NW,24.59,0.0,0.0,57.0
2010-01-07 16:00:00,4,,,,50.0,-18.0,44.0,1032.0,-8.0,NW,26.38,0.0,0.0,50.0
2010-01-07 17:00:00,4,,,,54.0,-19.0,44.0,1032.0,-9.0,NW,28.17,0.0,0.0,54.0
2010-01-07 18:00:00,4,,,,67.0,-19.0,51.0,1032.0,-11.0,NE,0.89,0.0,0.0,67.0
2010-01-07 19:00:00,4,,,,106.0,-18.0,56.0,1033.0,-11.0,NW,1.79,0.0,0.0,106.0
2010-01-07 20:00:00,4,,,,159.0,-19.0,71.0,1032.0,-15.0,NE,1.79,0.0,0.0,159.0
2010-01-07 21:00:00,4,,,,198.0,-19.0,65.0,1032.0,-14.0,cv,0.45,0.0,0.0,198.0
2010-01-07 22:00:00,4,,,,190.0,-21.0,55.0,1032.0,-14.0,cv,1.34,0.0,0.0,190.0
2010-01-07 23:00:00,4,,,,210.0,-21.0,65.0,1032.0,-16.0,cv,2.23,0.0,0.0,210.0
2010-01-08 00:00:00,4,,,,195.0,-21.0,71.0,1031.0,-17.0,NW,1.79,0.0,0.0,195.0
2010-01-08 01:00:00,4,,,,275.0,-19.0,77.0,1031.0,-16.0,NW,3.58,0.0,0.0,275.0
2010-01-08 02:00:00,4,,,,164.0,-20.0,71.0,1031.0,-16.0,NE,0.89,0.0,0.0,164.0
2010-01-08 03:00:00,4,,,,110.0,-19.0,71.0,1030.0,-15.0,SE,0.89,0.0,0.0,110.0
2010-01-08 04:00:00,4,,,,100.0,-18.0,77.0,1030.0,-15.0,cv,0.45,0.0,0.0,100.0
2010-01-08 05:00:00,4,,,,81.0,-18.0,77.0,1029.0,-15.0,cv,1.34,0.0,0.0,81.0
2010-01-08 06:00:00,4,,,,71.0,-18.0,77.0,1029.0,-15.0,NW,1.79,0.0,0.0,71.0
2010-01-08 07:00:00,4,,,,66.0,-16.0,78.0,1029.0,-13.0,NE,0.89,0.0,0.0,66.0
2010-01-08 08:00:00,4,,,,92.0,-16.0,72.0,1029.0,-12.0,SE,0.89,0.0,0.0,92.0
2010-01-08 09:00:00,4,,,,135.0,-16.0,72.0,1030.0,-12.0,SE,1.78,0.0,0.0,135.0
2010-01-08 10:00:00,4,,,,155.0,-17.0,56.0,1030.0,-10.0,NE,0.89,0.0,0.0,155.0
2010-01-08 11:00:00,4,,,,198.0,-16.0,61.0,1029.0,-10.0,cv,0.89,0.0,0.0,198.0
2010-01-08 12:00:00,4,,,,250.0,-16.0,56.0,1028.0,-9.0,SE,3.13,0.0,0.0,250.0
2010-01-08 13:00:00,4,,,,200.0,-15.0,57.0,1026.0,-8.0,SE,4.92,0.0,0.0,200.0
2010-01-08 14:00:00,4,,,,231.0,-16.0,52.0,1026.0,-8.0,cv,0.89,0.0,0.0,231.0
2010-01-08 15:00:00,4,,,,250.0,-16.0,52.0,1025.0,-8.0,cv,1.78,0.0,0.0,250.0
2010-01-08 16:00:00,4,,,,212.0,-16.0,52.0,1025.0,-8.0,cv,2.67,0.0,0.0,212.0
2010-01-08 17:00:00,4,,,,219.0,-17.0,48.0,1025.0,-8.0,SE,0.89,0.0,0.0,219.0
2010-01-08 18:00:00,4,,,,227.0,-17.0,52.0,1026.0,-9.0,cv,0.45,0.0,0.0,227.0
2010-01-08 19:00:00,4,,,,226.0,-17.0,61.0,1026.0,-11.0,cv,1.34,0.0,0.0,226.0
2010-01-08 20:00:00,4,,,,225.0,-17.0,66.0,1026.0,-12.0,cv,1.79,0.0,0.0,225.0
2010-01-08 21:00:00,4,,,,168.0,-18.0,71.0,1027.0,-14.0,NW,1.79,0.0,0.0,168.0
2010-01-08 22:00:00,4,,,,169.0,-16.0,56.0,1027.0,-9.0,NW,4.92,0.0,0.0,169.0
2010-01-08 23:00:00,4,,,,165.0,-16.0,66.0,1027.0,-11.0,NW,6.71,0.0,0.0,165.0
2010-01-09 00:00:00,4,,,,159.0,-17.0,71.0,1027.0,-13.0,cv,0.89,0.0,0.0,159.0
2010-01-09 01:00:00,4,,,,167.0,-17.0,71.0,1027.0,-13.0,NW,3.13,0.0,0.0,167.0
2010-01-09 02:00:00,4,,,,196.0,-17.0,77.0,1027.0,-14.0,NW,4.92,0.0,0.0,196.0
2010-01-09 03:00:00,4,,,,169.0,-17.0,84.0,1027.0,-15.0,NW,8.05,0.0,0.0,169.0
2010-01-09 04:00:00,4,,,,155.0,-17.0,71.0,1027.0,-13.0,NW,9.84,0.0,0.0,155.0
2010-01-09 05:00:00,4,,,,119.0,-19.0,77.0,1027.0,-16.0,NW,13.86,0.0,0.0,119.0
2010-01-09 06:00:00,4,,,,106.0,-18.0,77.0,1027.0,-15.0,NW,17.88,0.0,0.0,106.0
2010-01-09 07:00:00,4,,,,93.0,-19.0,71.0,1027.0,-15.0,NW,21.9,0.0,0.0,93.0
2010-01-09 08:00:00,4,,,,84.0,-18.0,71.0,1028.0,-14.0,NW,25.92,0.0,0.0,84.0
2010-01-09 09:00:00,4,,,,73.0,-18.0,48.0,1029.0,-9.0,NE,5.81,0.0,0.0,73.0
2010-01-09 10:00:00,4,,,,66.0,-17.0,44.0,1029.0,-7.0,NE,11.62,0.0,0.0,66.0
2010-01-09 11:00:00,4,,,,40.0,-17.0,41.0,1030.0,-6.0,NE,17.43,0.0,0.0,40.0
2010-01-09 12:00:00,4,,,,49.0,-16.0,45.0,1029.0,-6.0,NE,23.24,0.0,0.0,49.0
2010-01-09 13:00:00,4,,,,50.0,-16.0,41.0,1029.0,-5.0,NE,28.16,0.0,0.0,50.0
2010-01-09 14:00:00,4,,,,49.0,-15.0,42.0,1029.0,-4.0,NE,33.08,0.0,0.0,49.0
2010-01-09 15:00:00,4,,,,41.0,-14.0,45.0,1028.0,-4.0,NE,37.1,0.0,0.0,41.0
2010-01-09 16:00:00,4,,,,37.0,-15.0,42.0,1029.0,-4.0,NE,38.89,0.0,0.0,37.0
2010-01-09 17:00:00,4,,,,45.0,-15.0,42.0,1030.0,-4.0,NW,1.79,0.0,0.0,45.0
2010-01-09 18:00:00,4,,,,44.0,-15.0,52.0,1030.0,-7.0,NE,3.13,0.0,0.0,44.0
2010-01-09 19:00:00,4,,,,54.0,-15.0,48.0,1031.0,-6.0,NW,3.13,0.0,0.0,54.0
2010-01-09 20:00:00,4,,,,50.0,-15.0,52.0,1032.0,-7.0,NW,4.92,0.0,0.0,50.0
2010-01-09 21:00:00,4,,,,47.0,-15.0,48.0,1032.0,-6.0,NE,3.13,0.0,0.0,47.0
2010-01-09 22:00:00,4,,,,66.0,-15.0,57.0,1033.0,-8.0,cv,0.45,0.0,0.0,66.0
2010-01-09 23:00:00,4,,,,75.0,-15.0,57.0,1033.0,-8.0,cv,0.9,0.0,0.0,75.0
2010-01-10 00:00:00,4,,,,82.0,-15.0,72.0,1033.0,-11.0,NW,0.89,0.0,0.0,82.0
2010-01-10 01:00:00,4,,,,66.0,-17.0,71.0,1033.0,-13.0,NW,1.78,0.0,0.0,66.0
