datetime,season,PM_Caotangsi,PM_Shahepu,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_Average
2012-05-14 14:00:00,1,,,46.0,4.0,24.24,1013.9,26.0,cv,2.0,0.0,0.0,46.0
2012-05-14 15:00:00,1,,,,4.0,24.24,1012.9,26.0,cv,3.0,0.0,0.0,46.044834307992204
2012-05-14 16:00:00,1,,,,4.0,22.86,1011.9,27.0,cv,4.0,0.0,0.0,46.08966861598441
2012-05-14 17:00:00,1,,,,5.0,26.0,1011.9,26.0,cv,5.0,0.0,0.0,46.134502923976605
2012-05-14 18:00:00,1,,,,7.0,31.68,1011.9,25.0,SW,2.0,0.0,0.0,46.17933723196881
2012-05-14 19:00:00,1,,,,9.0,40.92,1011.9,23.0,SW,5.0,0.0,0.0,46.22417153996101
2012-05-14 20:00:00,1,,,,8.0,38.24,1012.9,23.0,SW,8.0,0.0,0.0,46.26900584795322
2012-06-04 23:00:00,2,,,69.0,18.0,88.28,1008.1,20.0,cv,4.0,0.0,0.0,69.0
2012-06-05 00:00:00,2,,,,18.0,88.28,1008.1,20.0,cv,4.0,0.0,0.0,70.8125
2012-06-05 01:00:00,2,,,,18.0,93.94,1008.1,19.0,cv,4.0,0.0,0.0,72.625
2012-06-05 02:00:00,2,,,,18.0,93.94,1007.1,19.0,SW,1.0,0.0,0.0,74.4375
2012-06-05 03:00:00,2,,,,18.0,93.94,1006.1,19.0,cv,0.0,0.0,0.0,76.25
2012-06-05 04:00:00,2,,,,18.0,93.94,1006.1,19.0,cv,0.0,0.0,0.0,78.0625
2012-06-05 05:00:00,2,,,,18.0,93.94,1006.1,19.0,cv,0.0,0.0,0.0,79.875
2012-06-05 15:00:00,2,,,98.0,19.0,88.37,1004.1,21.0,cv,4.0,0.0,0.0,98.0
2012-06-05 16:00:00,2,,,89.0,20.0,83.25,1003.1,23.0,cv,4.0,0.0,0.0,89.0
2012-06-05 17:00:00,2,,,66.0,18.0,73.5,1003.1,23.0,NE,2.0,0.0,0.0,66.0
2012-06-05 18:00:00,2,,,86.0,18.0,69.2,1003.1,24.0,NE,4.0,0.0,0.0,86.0
2012-06-05 19:00:00,2,,,80.0,19.0,78.24,1004.1,23.0,NE,7.0,0.0,0.0,80.0
2012-06-05 20:00:00,2,,,73.0,18.0,73.5,1004.1,23.0,NE,9.0,0.0,0.0,73.0
2012-06-05 21:00:00,2,,,84.0,18.0,78.09,1005.1,22.0,NE,12.0,0.0,0.0,84.0
2012-06-05 22:00:00,2,,,75.0,18.0,78.09,1006.1,22.0,cv,2.0,0.0,0.0,75.0
2012-06-05 23:00:00,2,,,152.0,18.0,73.5,1007.1,23.0,cv,3.0,0.0,0.0,152.0
2012-06-06 00:00:00,2,,,75.0,19.0,88.37,1007.1,21.0,cv,3.0,0.0,0.0,75.0
2012-06-06 01:00:00,2,,,75.0,19.0,88.37,1007.1,21.0,SW,1.0,0.0,0.0,75.0
2012-06-06 02:00:00,2,,,75.0,19.0,88.37,1006.1,21.0,SW,2.0,0.0,0.0,75.0
2012-06-06 03:00:00,2,,,76.0,19.0,88.37,1006.1,21.0,cv,0.0,0.5,0.5,76.0
2012-06-06 04:00:00,2,,,74.0,19.0,88.37,1006.1,21.0,cv,0.0,0.7,1.2,74.0
