datetime,season,PM_City Station,PM_5th Middle School,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_Average
2011-11-21 13:00:00,3.0,48.0,,48.0,13.9,64.0,1013.9,21.0,NE,10.9,0.0,0.0,48.0
2011-11-21 14:00:00,3.0,63.0,,63.0,13.8,67.0,1012.7,20.1,NW,3.7,0.0,0.0,63.0
2011-11-21 15:00:00,3.0,71.0,,71.0,14.3,68.0,1012.3,20.4,NW,6.5,0.0,0.0,71.0
2011-11-21 16:00:00,3.0,79.0,,79.0,14.5,68.0,1012.0,20.6,NW,9.3,0.0,0.0,79.0
2011-11-21 17:00:00,3.0,78.0,,78.0,14.2,69.0,1012.2,20.1,NE,2.2,0.0,0.0,78.0
2011-11-21 18:00:00,3.0,81.0,,81.0,14.5,73.0,1012.4,19.5,NE,3.7,0.0,0.0,81.0
2011-11-21 19:00:00,3.0,98.0,,98.0,14.7,74.0,1013.0,19.4,NW,1.5,0.0,0.0,98.0
2011-11-21 20:00:00,3.0,96.0,,96.0,14.8,77.0,1013.5,18.9,NE,1.3,0.0,0.0,96.0
2011-11-21 21:00:00,3.0,88.0,,88.0,14.8,78.0,1013.6,18.7,NE,2.7,0.0,0.0,88.0
2011-11-21 22:00:00,3.0,,,,15.4,86.0,1014.0,17.8,NE,3.8,0.0,0.0,86.53333333333333
2011-11-21 23:00:00,3.0,,,,15.5,86.0,1014.0,17.9,NW,1.3,0.0,0.0,85.06666666666666
2011-11-22 00:00:00,3.0,,,,15.7,87.0,1013.6,17.9,NE,1.2,0.0,0.0,83.6
2011-11-22 01:00:00,3.0,,,,15.7,86.0,1013.6,18.1,NE,3.0,0.0,0.0,82.13333333333334
2011-11-22 02:00:00,3.0,,,,15.4,84.0,1013.4,18.1,NW,1.3,0.0,0.0,80.66666666666667
2011-11-22 03:00:00,3.0,,,,15.5,84.0,1013.5,18.2,NE,2.3,0.0,0.0,79.2
2011-11-22 12:00:00,3.0,66.0,,66.0,15.2,62.0,1013.9,22.9,NE,7.3,0.0,0.0,66.0
2011-11-22 13:00:00,3.0,58.0,,58.0,16.1,60.0,1012.3,24.4,NE,8.8,0.0,0.0,58.0
2011-11-22 14:00:00,3.0,64.0,,64.0,15.7,57.0,1011.4,24.8,NE,11.3,0.0,0.0,64.0
2011-11-22 15:00:00,3.0,55.0,,55.0,15.5,58.0,1010.6,24.3,NE,14.1,0.0,0.0,55.0
2011-11-22 16:00:00,3.0,50.0,,50.0,15.7,59.0,1010.5,24.2,NE,17.0,0.0,0.0,50.0
2011-11-22 17:00:00,3.0,64.0,,64.0,15.9,65.0,1011.1,22.8,NE,18.5,0.0,0.0,64.0
2011-11-22 18:00:00,3.0,89.0,,89.0,16.9,74.0,1011.4,21.7,NW,1.2,0.0,0.0,89.0
2011-11-22 19:00:00,3.0,84.0,,84.0,17.7,84.0,1012.0,20.5,NE,1.5,0.0,0.0,84.0
2011-11-22 20:00:00,3.0,77.0,,77.0,17.2,81.0,1012.7,20.6,cv,0.5,0.0,0.0,77.0
2011-11-22 21:00:00,3.0,75.0,,75.0,17.1,84.0,1013.0,19.9,NW,1.4,0.0,0.0,75.0
