datetime,season,PM_Jingan,PM_US Post,PM_Xuhui,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_Average
2011-12-28 18:00:00,4,,36.0,,4.0,62.0,1027.1,11.0,NE,8.0,0.0,0.0,36.0
2011-12-28 19:00:00,4,,41.0,,4.0,62.0,1027.1,11.0,NE,9.0,0.0,0.0,41.0
2011-12-28 20:00:00,4,,44.0,,5.0,71.07,1028.1,10.0,NE,11.0,0.0,0.0,44.0
2011-12-28 21:00:00,4,,40.0,,5.0,71.07,1028.1,10.0,NE,13.0,0.0,0.0,40.0
2011-12-28 22:00:00,4,,25.0,,6.0,76.18,1028.1,10.0,NE,15.0,0.0,0.0,25.0
2011-12-28 23:00:00,4,,28.0,,6.0,76.18,1028.1,10.0,NE,17.0,0.0,0.0,28.0
2011-12-29 00:00:00,4,,34.0,,6.0,76.18,1028.1,10.0,NE,19.0,0.0,0.0,34.0
2011-12-29 01:00:00,4,,25.0,,5.0,76.01,1028.1,9.0,NE,21.0,0.0,0.0,25.0
2011-12-29 02:00:00,4,,27.0,,5.0,76.01,1028.1,9.0,NE,23.0,0.0,0.0,27.0
2011-12-29 03:00:00,4,,35.0,,5.0,81.34,1028.1,8.0,NE,25.0,0.0,0.0,35.0
2011-12-29 04:00:00,4,,33.0,,5.0,81.34,1027.1,8.0,NE,29.0,0.0,0.0,33.0
2011-12-29 05:00:00,4,,34.0,,4.0,70.88,1028.1,9.0,NE,34.0,0.0,0.0,34.0
2011-12-29 06:00:00,4,,36.0,,4.0,70.88,1028.1,9.0,NE,37.0,0.0,0.0,36.0
2011-12-29 07:00:00,4,,40.0,,4.0,70.88,1029.1,9.0,NE,40.0,0.0,0.0,40.0
2011-12-29 08:00:00,4,,41.0,,4.0,70.88,1030.1,9.0,NE,44.0,0.0,0.0,41.0
2011-12-29 09:00:00,4,,40.0,,4.0,66.27,1030.1,10.0,NE,49.0,0.0,0.0,40.0
2011-12-29 10:00:00,4,,40.0,,4.0,62.0,1030.1,11.0,NE,55.0,0.0,0.0,40.0
2011-12-29 11:00:00,4,,,,3.0,57.77,1030.1,11.0,NE,61.0,0.0,0.0,39.0
2011-12-29 12:00:00,4,,38.0,,3.0,57.77,1030.1,11.0,NE,66.0,0.0,0.0,38.0
2011-12-29 13:00:00,4,,30.0,,1.0,50.08,1029.1,11.0,NE,71.0,0.0,0.0,30.0
2011-12-29 14:00:00,4,,42.0,,2.0,53.81,1028.1,11.0,NE,76.0,0.0,0.0,42.0
2011-12-29 15:00:00,4,,40.0,,3.0,61.76,1028.1,10.0,NE,83.0,0.0,0.0,40.0
2011-12-29 16:00:00,4,,40.0,,3.0,61.76,1029.1,10.0,NE,89.0,0.0,0.0,40.0
2011-12-29 17:00:00,4,,79.0,,3.0,66.05,1029.1,9.0,NE,95.0,0.0,0.0,79.0
2011-12-29 18:00:00,4,,94.0,,3.0,66.05,1031.2,9.0,NE,102.0,0.0,0.0,94.0
2011-12-29 19:00:00,4,,126.0,,3.0,70.67,1031.2,8.0,NE,108.0,0.0,0.0,126.0
2011-12-29 20:00:00,4,,125.0,,3.0,75.67,1031.2,7.0,NE,115.0,0.0,0.0,125.0
2011-12-29 21:00:00,4,,105.0,,3.0,75.67,1031.2,7.0,NE,120.0,0.0,0.0,105.0
2011-12-29 22:00:00,4,,73.0,,3.0,81.06,1031.2,6.0,NE,125.0,0.0,0.0,73.0
2011-12-29 23:00:00,4,,47.0,,1.0,70.27,1031.8,6.0,NE,131.0,0.0,0.0,47.0
2011-12-30 00:00:00,4,,35.0,,1.0,70.27,1031.8,6.0,NE,136.0,0.0,0.0,35.0
2011-12-30 01:00:00,4,,30.0,,0.0,65.36,1031.8,6.0,NE,141.0,0.0,0.0,30.0
2011-12-30 02:00:00,4,,27.0,,0.0,70.06,1031.8,5.0,NE,146.0,0.0,0.0,27.0
2011-12-30 03:00:00,4,,29.0,,0.0,75.14,1031.8,4.0,NE,151.0,0.0,0.0,29.0
2011-12-30 04:00:00,4,,18.0,,0.0,75.14,1031.8,4.0,NE,156.0,0.0,0.0,18.0
2011-12-30 05:00:00,4,,21.0,,0.0,80.63,1032.9,3.0,NE,160.0,0.0,0.0,21.0
2011-12-30 06:00:00,4,,23.0,,0.0,80.63,1032.9,3.0,NE,164.0,0.0,0.0,23.0
2011-12-30 07:00:00,4,,18.0,,0.0,80.63,1033.9,3.0,NE,168.0,0.0,0.0,18.0
2011-12-30 08:00:00,4,,24.0,,0.0,75.14,1033.9,4.0,NE,172.0,0.0,0.0,24.0
2011-12-30 09:00:00,4,,19.0,,-1.0,60.76,1034.9,6.0,NE,177.0,0.0,0.0,19.0
2011-12-30 10:00:00,4,,22.0,,-1.0,56.72,1034.9,7.0,NE,184.0,0.0,0.0,22.0
2011-12-30 11:00:00,4,,27.0,,-1.0,52.98,1033.9,8.0,NE,189.0,0.0,0.0,27.0
2011-12-30 12:00:00,4,,32.0,,-2.0,49.22,1032.9,8.0,NE,194.0,0.0,0.0,32.0
2011-12-30 13:00:00,4,,46.0,,-1.0,52.98,1031.8,8.0,NE,200.0,0.0,0.0,46.0
2011-12-30 14:00:00,4,,56.0,,-1.0,52.98,1031.8,8.0,NE,205.0,0.0,0.0,56.0
2011-12-30 15:00:00,4,,64.0,,-2.0,49.22,1031.8,8.0,NE,210.0,0.0,0.0,64.0
2011-12-30 16:00:00,4,,71.0,,-1.0,56.72,1032.9,7.0,NE,215.0,0.0,0.0,71.0
2011-12-30 17:00:00,4,,70.0,,-2.0,56.45,1032.9,6.0,NE,220.0,0.0,0.0,70.0
2011-12-30 18:00:00,4,,75.0,,-1.0,60.76,1032.9,6.0,NE,225.0,0.0,0.0,75.0
2011-12-30 19:00:00,4,,78.0,,-2.0,60.51,1032.9,5.0,NE,229.0,0.0,0.0,78.0
2011-12-30 20:00:00,4,,68.0,,-2.0,60.51,1031.8,5.0,NE,234.0,0.0,0.0,68.0
2011-12-30 21:00:00,4,,72.0,,-2.0,60.51,1032.9,5.0,NE,236.0,0.0,0.0,72.0
2011-12-30 22:00:00,4,,63.0,,-2.0,60.51,1031.8,5.0,NE,239.0,0.0,0.0,63.0
2011-12-30 23:00:00,4,,63.0,,-2.0,69.64,1031.8,3.0,NE,242.0,0.0,0.0,63.0
2011-12-31 00:00:00,4,,64.0,,-1.0,69.85,1031.2,4.0,NE,245.0,0.0,0.0,64.0
2011-12-31 01:00:00,4,,68.0,,-2.0,69.64,1031.8,3.0,NW,2.0,0.0,0.0,68.0
2011-12-31 02:00:00,4,,59.0,,-2.0,74.78,1031.8,2.0,NW,5.0,0.0,0.0,59.0
2011-12-31 03:00:00,4,,66.0,,-2.0,80.34,1031.2,1.0,NW,8.0,0.0,0.0,66.0
2011-12-31 04:00:00,4,,77.0,,-2.0,74.78,1031.2,2.0,NE,1.0,0.0,0.0,77.0
2011-12-31 05:00:00,4,,85.0,,-2.0,80.34,1030.1,1.0,NE,3.0,0.0,0.0,85.0
2011-12-31 06:00:00,4,,86.0,,-2.0,80.34,1030.1,1.0,NE,6.0,0.0,0.0,86.0
2011-12-31 07:00:00,4,,82.0,,-2.0,80.34,1030.1,1.0,NE,8.0,0.0,0.0,82.0
2011-12-31 08:00:00,4,,85.0,,0.0,80.63,1030.1,3.0,NW,2.0,0.0,0.0,85.0
2011-12-31 09:00:00,4,,98.0,,1.0,70.27,1031.2,6.0,cv,1.0,0.0,0.0,98.0
2011-12-31 10:00:00,4,,100.0,,0.0,61.01,1031.2,7.0,NE,2.0,0.0,0.0,100.0
2011-12-31 11:00:00,4,,106.0,,0.0,56.99,1030.1,8.0,NW,2.0,0.0,0.0,106.0
2011-12-31 12:00:00,4,,94.0,,-1.0,49.51,1029.1,9.0,NE,2.0,0.0,0.0,94.0
2011-12-31 13:00:00,4,,87.0,,-1.0,46.29,1027.1,10.0,SE,2.0,0.0,0.0,87.0
2011-12-31 14:00:00,4,,80.0,,-1.0,43.31,1027.1,11.0,SW,2.0,0.0,0.0,80.0
2011-12-31 15:00:00,4,,730.0,,-1.0,46.29,1026.1,10.0,SW,4.0,0.0,0.0,730.0
2011-12-31 16:00:00,4,,80.0,,-1.0,46.29,1026.1,10.0,SW,7.0,0.0,0.0,80.0
